Unnamed: 0,brand_name,watch_name,rating,number_of_reviews,price
197,IK COLOURING,Bestn Mens Luxury Skeleton Automatic Mechanical Wrist Watches Leather Moon Phrase Luminous Hands Self-Wind Watch,4.1,1200.0,4721.0
198,Titan,Titan See-Through Skeletal Automatic Analog with Black Dial Copper Brown Stainless Steel Strap Watch for Men - 90220QM01,4.141309359151683,523.1097279852466,22895.0
199,Fastrack,Mixmatched Quartz Analog Silver Dial Silver Stainless Steel Strap Couple Watch - NT33056296SM01,4.6,35.0,3276.0
200,LOUIS DEVIN,WT030 Leather Strap Analog Wrist Watch for Men,3.7,3800.0,295.0
201,AMERICANVIBER,"Analog Watch Men's Dive-Style Watch - Stainless Steel Bracelet, Rotating Black Bezel",3.2,27.0,402.0
202,TIMEX,Analog Watch for Pair with Round Dial & Water Resistant Couple's Wrist Watches,4.4,65.0,4406.0
203,Acnos,"Multi-Color Premium Chronograph Design Leather Analog Combo Watches For Men And Watches, Boys (Pack Of 3)",3.8,979.0,348.0
204,Fossil,Fossil Bronson Analog Black Dial Gray Band Men's Stainless Steel Watch-FS5852,4.1,878.0,11197.0
205,TIMEX,Classics Analog Watch for Men with Round Dial & Water Resistant Man's Wrist Watches,4.1,2100.0,2695.0
206,Casio,Unisex Vintage AQ-230A-2A1MQYDF Blue Analog-Digital Dial Silver Stainless Steel Band Ad270,4.1,166.0,3495.0
207,V2A,STEPO 50 Lap Memory 5ATM Waterproof Unisex Fitness Sports Watch with Step Counter Stop Watch and Countdown Timer (Black-Grey),4.1,254.0,941.0
208,Casio,Edifice ECB-900DB-1BDR Bluetooth Analog-Digital Black Dial Men Watch Silver Metal Strap (EX500),4.4,476.0,16995.0
209,OLEVS,Chronograph Watches for Men Original Analog Quartz Black Stainless Steel Chain Luxury Dual Time Zone Moon Phase Date Waterproof Men's Wrist Watch,4.0,243.0,3010.0
210,TIMEWEAR,Analog Slim Two Hands Leather Strap Watches for Men,3.7,15600.0,319.0
211,Casio,Edifice EF-539D-1A2VDF Analog Black Dial Men Watch Silver Metal Strap (ED462),4.5,199.0,10225.0
212,Matrix,Classic 2.0 Day & Date Analog Watch with Softest Silicone Strap for Men & Boys (Teal),4.0,932.0,273.0
213,Fastrack,Analog Unisex-Adult Watch,4.2,688.0,895.0
214,Fastrack,Fastrack Vyb Quest Quartz Analog Black Dial Black Stainless Steel Strap Watch for Men - FV30036NM01W,4.8,6.0,1451.0
